brand_model,brand,model,mileage,fuel,gear,offer_type,price,hp,year,age
Volkswagen Golf,Volkswagen,Golf,92800,Gasoline,Manual,Used,6877,122.0,2011,12
Renault Megane,Renault,Megane,96200,Gasoline,Manual,Used,6950,110.0,2011,12
Peugeot 308,Peugeot,308,156000,Gasoline,Manual,Used,6950,156.0,2011,12
Toyota Auris,Toyota,Auris,147000,Electric,Automatic,Used,6950,99.0,2011,12
Renault Scenic,Renault,Scenic,91894,Diesel,Manual,Used,6970,131.0,2011,12
Opel Zafira,Opel,Zafira,127500,Gasoline,Manual,Used,6972,116.0,2011,12
Mazda 3,Mazda,3,115000,Gasoline,Automatic,Used,6980,150.0,2011,12
Ford Transit,Ford,Transit,104,Diesel,Manual,Used,6990,86.0,2011,12
Opel Meriva,Opel,Meriva,59580,Diesel,Automatic,Used,6990,101.0,2011,12
Volkswagen Golf,Volkswagen,Golf,84000,Gasoline,Manual,Used,6990,105.0,2011,12
Audi A4,Audi,A4,194020,Diesel,Manual,Used,6999,120.0,2011,12
Volkswagen Polo,Volkswagen,Polo,72000,Gasoline,Manual,Used,6999,60.0,2011,12
Opel Corsa,Opel,Corsa,82000,Gasoline,Manual,Used,7000,101.0,2011,12
Kia Picanto,Kia,Picanto,44800,Gasoline,Automatic,Used,7850,86.0,2012,11
Volkswagen Golf,Volkswagen,Golf,81970,Gasoline,Manual,Used,7850,105.0,2012,11
Dacia Duster,Dacia,Duster,24000,Gasoline,Manual,Used,7900,105.0,2012,11
BMW 118,BMW,118,299900,Diesel,Manual,Used,7950,143.0,2012,11
Opel Astra,Opel,Astra,104250,Gasoline,Manual,Used,7950,140.0,2012,11
Peugeot 308,Peugeot,308,151250,Diesel,Manual,Used,7950,163.0,2012,11
BMW 118,BMW,118,133500,Diesel,Manual,Used,7980,143.0,2012,11
Opel Astra,Opel,Astra,105000,Gasoline,Manual,Used,7980,179.0,2012,11
Ford Focus,Ford,Focus,114164,Gasoline,Manual,Used,7990,125.0,2012,11
BMW 118,BMW,118,150000,Diesel,Manual,Used,7999,143.0,2012,11
Mercedes-Benz B 180,Mercedes-Benz,B 180,165000,Diesel,Manual,Used,8000,109.0,2012,11
Renault Scenic,Renault,Scenic,51200,Gasoline,Manual,Used,8000,131.0,2012,11
Opel Insignia,Opel,Insignia,107000,Diesel,Manual,Used,8000,160.0,2012,11
MINI One,MINI,One,130000,Gasoline,Manual,Used,8000,98.0,2012,11
BMW 320,BMW,320,214000,Diesel,Automatic,Used,8199,184.0,2012,11
Opel Zafira,Opel,Zafira,73760,Gasoline,Manual,Used,8990,140.0,2013,10
Opel Adam,Opel,Adam,7400,Gasoline,Manual,Used,8990,101.0,2013,10
BMW 520,BMW,520,239211,Diesel,Automatic,Used,8990,184.0,2013,10
Ford B-Max,Ford,B-Max,86980,Gasoline,Manual,Used,8995,120.0,2013,10
Volkswagen Golf Variant,Volkswagen,Golf Variant,98000,Diesel,Automatic,Used,8999,105.0,2013,10
Ford Transit,Ford,Transit,98988,Diesel,Manual,Used,8999,101.0,2013,10
Opel Adam,Opel,Adam,41124,Gasoline,Manual,Used,8999,101.0,2013,10
Volkswagen Touran,Volkswagen,Touran,170000,Diesel,Manual,Used,8999,140.0,2013,10
Volkswagen Touran,Volkswagen,Touran,143316,Gasoline,Automatic,Used,9000,140.0,2013,10
SEAT Leon,SEAT,Leon,98100,Gasoline,Manual,Used,9100,122.0,2013,10
Audi A1,Audi,A1,113000,Gasoline,Manual,Used,9100,86.0,2013,10
Volkswagen Golf Variant,Volkswagen,Golf Variant,94000,Diesel,Manual,Used,9200,105.0,2013,10
Volkswagen Golf Plus,Volkswagen,Golf Plus,77000,Gasoline,Automatic,Used,9300,122.0,2013,10
Ford Fiesta,Ford,Fiesta,45600,Gasoline,Manual,Used,8990,80.0,2014,9
Volkswagen Polo,Volkswagen,Polo,99756,Gasoline,Manual,Used,8990,105.0,2014,9
Toyota Yaris,Toyota,Yaris,84600,Electric,Automatic,Used,8990,143.0,2014,9
Volkswagen Golf Variant,Volkswagen,Golf Variant,133180,Diesel,Manual,Used,8990,105.0,2014,9
Volkswagen up!,Volkswagen,up!,22700,Gasoline,Manual,Used,8990,60.0,2014,9
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,53000,Gasoline,Manual,Used,8999,105.0,2014,9
BMW 116,BMW,116,149786,Gasoline,Manual,Used,8999,136.0,2014,9
Volkswagen Passat Variant,Volkswagen,Passat Variant,197500,Diesel,Manual,Used,8999,140.0,2014,9
